month,cov,ks_conf,mean_conf,est_cov,set_size,frac_single,emb_shift,pred_entropy
2021-02,0.8916666666666667,0.0875,0.7814084964107928,0.8675131965998886,1.2883333333333333,0.7333333333333333,0.07998536,0.6703776714381644
2021-03,0.885,0.03791666666666667,0.7845947195555228,0.8755505515034023,1.3,0.7316666666666667,0.09159835,0.6410129033706322
2021-04,0.9083333333333333,0.04958333333333333,0.7847248649145012,0.8688937847227047,1.2733333333333334,0.74,0.08914374,0.6479663735228
2021-05,0.905,0.059722222222222225,0.7841392997721521,0.8747687783610877,1.3033333333333332,0.7133333333333334,0.07387276,0.6510993084172235
2021-06,0.8983333333333333,0.09902777777777778,0.7634553897169112,0.8644477262196254,1.3366666666666667,0.6916666666666667,0.10562868,0.6984885759150175
2021-07,0.8933333333333333,0.0751388888888889,0.774376010444857,0.8748076754064298,1.3333333333333333,0.6933333333333334,0.071713656,0.6680387191792896
2021-08,0.8816666666666667,0.05708333333333333,0.7849563133422549,0.869000644540835,1.2683333333333333,0.7433333333333333,0.0781645,0.6536573013270345
2021-09,0.8866666666666667,0.04805555555555555,0.7798928568778017,0.8656495678556291,1.2833333333333334,0.7333333333333333,0.111024976,0.6629875687654027
2021-10,0.8766666666666667,0.07694444444444444,0.7725525150293553,0.8639549195040608,1.3066666666666666,0.7083333333333334,0.080275476,0.6874211678278683
2021-11,0.895,0.07347222222222222,0.7768257639929831,0.8665223557022618,1.29,0.7283333333333334,0.085926086,0.6718413625950445
2021-12,0.91,0.06277777777777778,0.7738813537839128,0.8649193757061365,1.2966666666666666,0.7216666666666667,0.08844102,0.6770987850151342
2022-01,0.905,0.1125,0.7599705243909656,0.8619888500976043,1.3316666666666668,0.6816666666666666,0.07904518,0.7117029578044969
2022-02,0.92,0.08069444444444444,0.7643824818559447,0.8646972870850178,1.3433333333333333,0.6833333333333333,0.08303644,0.6969677657783871
2022-03,0.88,0.050972222222222224,0.7905575960030866,0.8667045555972811,1.25,0.7633333333333333,0.108101815,0.638286236117959
2022-04,0.8733333333333333,0.07930555555555556,0.7671144993452333,0.8564695307482306,1.3,0.7166666666666667,0.11613722,0.7000070114359351
2022-05,0.9066666666666666,0.07347222222222222,0.7747116433989724,0.8693656829105627,1.3116666666666668,0.7016666666666667,0.10489217,0.6749238889918583
2022-06,0.9083333333333333,0.08722222222222223,0.7676426077291411,0.8629367017210005,1.3183333333333334,0.7,0.10244585,0.6934658860597618
2022-07,0.9166666666666666,0.06444444444444444,0.775517091686833,0.8701573750677668,1.3083333333333333,0.7083333333333334,0.085109524,0.6665226470566149
2022-08,0.88,0.03652777777777778,0.7950899095987535,0.8675509607953021,1.2433333333333334,0.765,0.07244085,0.6451146844765056
2022-09,0.895,0.06305555555555556,0.7752238385907367,0.8629829435585851,1.2883333333333333,0.73,0.09065882,0.6771798738279016
2022-10,0.9016666666666666,0.08416666666666667,0.7732208917688371,0.8639673199765528,1.2966666666666666,0.7166666666666667,0.11570615,0.6803695039006658
